id,geoname_id,extra,alternate_name,extra1,extra2,extra3,extra4,extra5,extra6
2997177,4388402,link,https://en.wikipedia.org/wiki/Grain_Valley%2C_Missouri,,,,,,
13807393,4388402,unlc,USGIV,,,,,,
2757425,4389658,post,64701,,,,,,
2757184,4388831,post,64034,,,,,,
2997194,4388831,link,https://en.wikipedia.org/wiki/Greenwood%2C_Missouri,,,,,,
13805788,4388831,unlc,USEEO,,,,,,
15328237,4388831,wkdt,Q3458893,,,,,,
2997213,4389658,link,https://en.wikipedia.org/wiki/Harrisonville%2C_Missouri,,,,,,
2756932,4389418,post,63401,,,,,,
2997209,4389418,link,https://en.wikipedia.org/wiki/Hannibal%2C_Missouri,,,,,,
8293312,4389418,kk,Ханнибал,,,,,,
8293313,4389418,ar,هانيبال,,,,,,
8293314,4389418,fa,هانیبال,,,,,,
8293315,4389418,ru,Ганнибал,,,,,,
8720301,4389418,sr,Ханибал,,,,,,
11349879,4389418,ja,ハンニバル,,,,,,
11349880,4389418,ky,Ханнибал,,,,,,
11349881,4389418,uk,Ганнібал,,,,,,
12356445,4389418,,Stavelys Landing,,,,,,
12398370,4389418,,South Hannibal,,,,,,
12500056,4389418,,Staveley's Landing,,,,,,
12697996,4389418,,North Hannibal,,,,,,
13055652,4389418,en,Hannibal,1,,,,,
13807986,4389418,unlc,USHBL,,,,,,
9380541,4389658,ar,هاريسونفيل، ميزوري,,,,,,
9380542,4389658,fa,هریسون‌ویل، میزوری,,,,,,
9380543,4389658,kk,Харрисонвилл,,,,,,
9380544,4389658,sr,Харисонвил,,,,,,
9380545,4389658,uk,Гаррісонвілл,,,,,,
13808310,4389658,unlc,USHMO,,,,,,
15359764,4389658,wkdt,Q964431,,,,,,
8212408,4391812,ar,إنديبندنس,,,,,,
2756812,4389967,post,63042,,,,,,
2997229,4389967,link,https://en.wikipedia.org/wiki/Hazelwood%2C_Missouri,,,,,,
11576679,4389967,ar,هازلوود,,,,,,
11576680,4389967,fa,هیزل‌وود، میزوری,,,,,,
11576681,4389967,kk,Хейзлвуд,,,,,,
11576682,4389967,sr,Хејзелвуд,,,,,,
11576683,4389967,ur,ہیزلووڈ، مسوری,,,,,,
13808723,4389967,unlc,USHZW,,,,,,
14987850,4389967,wkdt,Q963585,,,,,,
1614830,4391812,en,Independence,1,,,,,
1614831,4391812,io,Independence,,,,,,
1614832,4391812,nl,Independence,,,,,,
1614833,4391812,pl,Independence,,,,,,
